backhand: precision: 0.7634408602150538, recall: 0.7244897959183674, f1-score: 0.7434554973821991, support: 98, 
smash: precision: 0.5841584158415841, recall: 0.5566037735849056, f1-score: 0.570048309178744, support: 106, 
forehandopen: precision: 0.9238095238095239, recall: 0.8818181818181818, f1-score: 0.9023255813953489, support: 110, 
backhand2hands: precision: 0.7459016393442623, recall: 0.8425925925925926, f1-score: 0.7913043478260869, support: 108, 
backhandslice: precision: 0.616822429906542, recall: 0.6111111111111112, f1-score: 0.6139534883720931, support: 108, 
forehandflat: precision: 0.7927927927927928, recall: 0.7857142857142857, f1-score: 0.789237668161435, support: 112, 
forslice: precision: 0.5932203389830508, recall: 0.6363636363636364, f1-score: 0.6140350877192983, support: 110, 
service: precision: 0.7121212121212122, recall: 0.734375, f1-score: 0.7230769230769231, support: 128, 
volley: precision: 0.6153846153846154, recall: 0.5283018867924528, f1-score: 0.5685279187817259, support: 106, 
volleybackhand: precision: 0.6568627450980392, recall: 0.6979166666666666, f1-score: 0.6767676767676768, support: 96, 
accuracy: 0.7014787430683919
macro avg: precision: 0.7004514573496677, recall: 0.6999286930562201, f1-score: 0.699273249866153, support: 1082, 
weighted avg: precision: 0.7014966557033662, recall: 0.7014787430683919, f1-score: 0.7005853981302254, support: 1082, 
