backhand: precision: 0.7789473684210526, recall: 0.7551020408163265, f1-score: 0.7668393782383419, support: 98, 
smash: precision: 0.6395348837209303, recall: 0.5188679245283019, f1-score: 0.5729166666666667, support: 106, 
forehandopen: precision: 0.8828828828828829, recall: 0.8909090909090909, f1-score: 0.8868778280542986, support: 110, 
backhand2hands: precision: 0.7863247863247863, recall: 0.8518518518518519, f1-score: 0.8177777777777777, support: 108, 
backhandslice: precision: 0.6634615384615384, recall: 0.6388888888888888, f1-score: 0.6509433962264151, support: 108, 
forehandflat: precision: 0.75, recall: 0.7767857142857143, f1-score: 0.763157894736842, support: 112, 
forslice: precision: 0.5826086956521739, recall: 0.6090909090909091, f1-score: 0.5955555555555556, support: 110, 
service: precision: 0.6571428571428571, recall: 0.71875, f1-score: 0.6865671641791045, support: 128, 
volley: precision: 0.5520833333333334, recall: 0.5, f1-score: 0.5247524752475247, support: 106, 
volleybackhand: precision: 0.6568627450980392, recall: 0.6979166666666666, f1-score: 0.6767676767676768, support: 96, 
accuracy: 0.6968576709796673
macro avg: precision: 0.6949849091037594, recall: 0.695816308703775, f1-score: 0.6942155813450203, support: 1082, 
weighted avg: precision: 0.6946418475716191, recall: 0.6968576709796673, f1-score: 0.6945625926940363, support: 1082, 
